EmployeeNumber,Age,Gender,MaritalStatus,Attrition,Department,JobRole,JobSatisfaction,JobLevel,BusinessTravel,DistanceFromHome,Salary,OverTime,EnvironmentSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
337,31,Male,Divorced,No,Research & Development,Research Director,3,3,Travel_Frequently,3,13675,No,2,9,3,2,2
338,33,Female,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,5,2911,No,3,2,2,2,0
339,34,Male,Married,No,Research & Development,Manufacturing Director,1,2,Travel_Rarely,2,5957,No,4,13,3,11,5
340,37,Female,Married,No,Research & Development,Research Scientist,1,1,Travel_Rarely,1,3920,No,3,17,2,3,0
341,45,Male,Married,No,Research & Development,Manufacturing Director,3,2,Travel_Frequently,7,6434,No,1,9,3,3,0
342,37,Male,Divorced,Yes,Research & Development,Manufacturing Director,3,3,Travel_Frequently,10,10048,No,1,17,3,1,0
343,39,Female,Single,No,Research & Development,Healthcare Representative,3,3,Travel_Frequently,2,10938,No,3,20,3,19,11
346,29,Male,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,15,2340,No,3,6,3,6,1
347,42,Female,Single,No,Research & Development,Research Scientist,1,2,Travel_Rarely,17,6545,Yes,4,10,3,3,0
349,29,Male,Divorced,No,Sales,Sales Executive,4,2,Travel_Rarely,20,6931,No,4,10,3,3,0
350,25,Female,Married,No,Research & Development,Manufacturing Director,3,2,Travel_Rarely,1,4898,No,1,5,3,4,1
351,42,Female,Divorced,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,2,2593,Yes,4,10,3,9,7
352,40,Male,Divorced,No,Research & Development,Research Director,3,5,Travel_Rarely,2,19436,No,1,22,3,21,3
353,51,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,1,2723,No,3,1,2,1,0
355,31,Male,Single,Yes,Research & Development,Laboratory Technician,2,1,Travel_Frequently,29,3479,No,3,6,4,5,1
359,32,Male,Married,No,Research & Development,Laboratory Technician,2,1,Travel_Frequently,7,2794,No,2,5,1,5,0
361,38,Male,Married,No,Sales,Sales Executive,4,2,Non-Travel,2,5249,No,4,13,3,8,7
362,32,Male,Single,No,Research & Development,Laboratory Technician,1,2,Travel_Rarely,2,2176,No,4,9,3,6,0
363,46,Female,Married,No,Sales,Manager,2,4,Travel_Rarely,2,16872,Yes,3,28,2,7,7
364,28,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,2,3485,No,1,5,1,0,0
366,29,Male,Married,No,Sales,Sales Executive,2,2,Travel_Rarely,2,6644,No,1,10,3,0,0
367,31,Male,Married,No,Research & Development,Healthcare Representative,4,2,Travel_Rarely,23,5582,No,2,10,3,9,7
369,25,Male,Divorced,No,Research & Development,Healthcare Representative,1,2,Non-Travel,5,4000,No,2,6,3,6,1
372,45,Male,Married,No,Research & Development,Healthcare Representative,4,4,Travel_Rarely,20,13496,Yes,3,21,3,20,4
373,36,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,6,3210,No,4,16,3,15,10
374,55,Male,Single,No,Research & Development,Manager,1,5,Travel_Rarely,1,19045,Yes,4,37,3,36,4
376,47,Male,Married,Yes,Research & Development,Manager,2,3,Non-Travel,29,11849,Yes,1,10,2,10,9
377,28,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,9,2070,No,4,5,2,5,0
378,37,Male,Married,No,Sales,Sales Executive,4,2,Travel_Rarely,6,6502,No,3,7,4,5,0
379,21,Male,Single,No,Research & Development,Research Scientist,3,1,Travel_Rarely,3,3230,No,4,3,4,3,1
380,37,Female,Divorced,No,Research & Development,Research Director,4,3,Non-Travel,1,13603,Yes,1,15,3,5,0
381,35,Female,Divorced,No,Research & Development,Manager,2,3,Travel_Rarely,22,11996,No,2,10,2,7,6
382,38,Female,Divorced,No,Sales,Sales Executive,1,2,Travel_Rarely,7,5605,Yes,1,8,3,8,7
384,26,Female,Divorced,No,Research & Development,Manufacturing Director,2,2,Travel_Frequently,1,6397,No,3,6,1,6,1
385,50,Male,Divorced,No,Research & Development,Research Director,2,5,Travel_Rarely,4,19144,No,1,28,2,10,1
386,53,Male,Married,No,Research & Development,Research Director,3,4,Travel_Rarely,3,17584,Yes,3,21,2,5,1
387,42,Male,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,1,4907,No,2,20,3,20,11
388,29,Male,Single,No,Sales,Sales Executive,4,2,Travel_Frequently,2,4554,No,2,10,2,10,0
389,55,Male,Married,No,Research & Development,Laboratory Technician,4,2,Travel_Rarely,20,5415,Yes,2,12,3,10,0
390,26,Male,Married,No,Research & Development,Healthcare Representative,1,2,Travel_Frequently,11,4741,Yes,1,5,3,5,3
391,37,Female,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,1,2115,No,4,17,3,17,5
392,44,Male,Divorced,Yes,Research & Development,Laboratory Technician,3,1,Travel_Frequently,24,3161,Yes,4,19,1,1,0
393,38,Male,Divorced,No,Research & Development,Healthcare Representative,4,2,Travel_Rarely,23,5745,No,4,10,3,2,1
394,26,Male,Divorced,Yes,Research & Development,Laboratory Technician,2,1,Travel_Rarely,16,2373,Yes,1,5,3,3,0
395,28,Female,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,8,3310,No,4,5,3,5,0
396,49,Female,Single,No,Research & Development,Research Director,1,5,Travel_Frequently,10,18665,Yes,3,22,3,3,1
397,36,Male,Single,No,Research & Development,Research Scientist,2,2,Travel_Rarely,3,4485,No,3,10,3,8,7
399,31,Female,Divorced,No,Sales,Sales Representative,2,1,Travel_Frequently,5,2789,No,4,2,2,2,2
401,26,Male,Single,Yes,Sales,Sales Executive,4,2,Travel_Rarely,4,5828,Yes,4,8,3,8,7
403,37,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Frequently,9,2326,Yes,2,4,2,4,1
404,42,Female,Married,No,Sales,Sales Executive,2,4,Travel_Frequently,26,13525,No,3,23,4,20,4
405,18,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,3,1420,No,3,0,3,0,0
406,35,Male,Married,No,Sales,Sales Executive,2,3,Travel_Rarely,16,8020,No,3,12,2,11,6
407,36,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Frequently,18,3688,No,3,4,3,1,0
408,51,Male,Divorced,No,Research & Development,Manufacturing Director,2,2,Travel_Rarely,2,5482,No,4,13,3,4,1
410,41,Male,Single,No,Sales,Manager,2,4,Travel_Rarely,2,16015,No,4,22,3,22,0
411,18,Female,Single,No,Sales,Sales Representative,3,1,Travel_Rarely,10,1200,No,4,0,3,0,0
412,28,Male,Single,No,Research & Development,Healthcare Representative,1,2,Travel_Rarely,16,5661,No,2,9,3,8,0
416,31,Male,Married,No,Sales,Sales Executive,4,2,Travel_Rarely,7,6929,No,2,10,2,8,7
417,39,Male,Divorced,No,Research & Development,Healthcare Representative,4,3,Travel_Rarely,1,9613,No,3,19,2,18,3
419,36,Female,Married,No,Research & Development,Laboratory Technician,2,2,Non-Travel,24,5674,No,2,11,3,9,0
420,32,Male,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,7,5484,No,4,13,2,13,4
421,38,Female,Married,No,Research & Development,Research Director,2,3,Travel_Rarely,25,12061,No,1,19,3,10,0
422,58,Male,Divorced,No,Research & Development,Healthcare Representative,3,2,Non-Travel,1,5660,Yes,4,12,3,5,1
423,31,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,5,4821,Yes,3,6,3,5,0
424,31,Male,Married,No,Human Resources,Human Resources,1,2,Travel_Rarely,2,6410,No,1,9,3,2,1
425,45,Male,Divorced,No,Research & Development,Laboratory Technician,1,3,Travel_Frequently,7,5210,No,1,24,3,24,9
426,31,Male,Divorced,No,Research & Development,Research Scientist,4,1,Travel_Rarely,2,2695,Yes,3,3,1,2,2
428,33,Female,Married,No,Research & Development,Manager,2,3,Travel_Frequently,5,11878,No,4,12,3,10,8
429,39,Male,Married,No,Research & Development,Manager,1,4,Travel_Rarely,10,17068,Yes,3,21,3,21,11
430,43,Female,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Frequently,10,2455,No,3,9,3,8,1
431,49,Female,Single,No,Research & Development,Healthcare Representative,3,4,Travel_Rarely,1,13964,Yes,3,25,3,7,0
433,52,Male,Married,Yes,Research & Development,Research Scientist,2,2,Travel_Rarely,8,4941,No,3,11,2,8,7
434,27,Female,Single,No,Research & Development,Research Scientist,2,1,Travel_Rarely,5,2478,Yes,3,4,2,4,1
436,32,Female,Married,No,Sales,Sales Executive,2,2,Travel_Rarely,8,5228,Yes,3,13,3,13,11
437,27,Male,Single,No,Sales,Sales Executive,3,2,Travel_Rarely,2,4478,Yes,4,5,3,5,0
438,31,Male,Divorced,No,Sales,Sales Executive,4,2,Travel_Rarely,7,7547,No,4,13,3,7,1
439,32,Female,Single,No,Research & Development,Research Scientist,4,2,Travel_Rarely,2,5055,No,1,10,2,7,0
440,28,Male,Married,Yes,Research & Development,Research Scientist,4,1,Travel_Rarely,2,3464,Yes,1,5,2,3,2
441,30,Female,Married,No,Research & Development,Research Scientist,4,2,Travel_Rarely,28,5775,No,4,11,3,10,1
442,31,Female,Married,No,Research & Development,Manufacturing Director,3,3,Travel_Frequently,7,8943,No,3,10,3,10,8
444,39,Male,Married,No,Research & Development,Manager,4,5,Travel_Frequently,7,19272,No,3,21,3,21,13
445,39,Female,Married,Yes,Sales,Sales Executive,3,2,Travel_Rarely,3,5238,Yes,4,12,2,1,0
446,33,Male,Single,No,Sales,Sales Executive,4,2,Travel_Frequently,10,4682,No,2,9,2,7,0
447,47,Male,Married,No,Research & Development,Research Director,3,5,Travel_Rarely,5,18300,No,4,21,3,3,1
448,43,Female,Divorced,No,Research & Development,Laboratory Technician,3,2,Travel_Frequently,10,5257,No,3,9,4,9,0
449,27,Male,Married,No,Sales,Sales Executive,2,2,Non-Travel,1,6349,Yes,3,6,3,5,1
450,54,Female,Single,No,Research & Development,Research Scientist,3,2,Travel_Frequently,20,4869,No,4,20,2,4,0
451,43,Female,Married,No,Research & Development,Healthcare Representative,1,3,Travel_Rarely,7,9985,No,3,10,2,1,0
452,45,Male,Married,No,Research & Development,Research Scientist,4,2,Travel_Rarely,8,3697,No,4,12,3,10,9
453,40,Male,Married,No,Sales,Sales Executive,4,2,Travel_Rarely,1,7457,Yes,2,6,2,4,0
454,29,Male,Married,Yes,Research & Development,Laboratory Technician,1,1,Travel_Rarely,8,2119,Yes,2,7,2,7,0
455,29,Male,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,9,3983,No,2,4,3,3,2
456,30,Female,Divorced,No,Sales,Sales Executive,3,2,Travel_Rarely,5,6118,No,4,10,3,10,1
458,27,Female,Married,No,Sales,Sales Executive,2,2,Travel_Rarely,8,6214,No,2,8,3,8,0
460,37,Male,Divorced,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,5,6347,No,4,8,2,6,0
461,38,Male,Divorced,No,Research & Development,Research Director,4,3,Travel_Rarely,15,11510,Yes,3,12,3,11,2
462,31,Female,Single,No,Research & Development,Manufacturing Director,4,3,Travel_Rarely,7,7143,Yes,3,11,2,11,4
463,29,Female,Divorced,No,Sales,Sales Executive,2,2,Travel_Rarely,10,8268,Yes,4,7,3,7,1
464,35,Male,Single,No,Research & Development,Manufacturing Director,2,3,Travel_Rarely,5,8095,No,3,17,3,16,0
465,23,Male,Divorced,No,Research & Development,Research Scientist,4,1,Travel_Rarely,26,2904,No,3,4,2,4,0
466,41,Male,Single,No,Research & Development,Manufacturing Director,2,2,Travel_Rarely,6,6032,Yes,4,8,3,5,1
467,47,Male,Single,No,Sales,Sales Representative,3,2,Travel_Frequently,4,2976,No,2,5,3,0,0
468,42,Female,Single,No,Research & Development,Research Director,4,4,Travel_Rarely,23,15992,No,1,16,3,1,0
469,29,Male,Married,No,Sales,Sales Executive,3,2,Non-Travel,2,4649,No,4,4,2,4,0
470,42,Male,Divorced,No,Human Resources,Human Resources,3,1,Travel_Rarely,2,2696,Yes,3,4,3,3,1
471,32,Female,Married,No,Research & Development,Laboratory Technician,2,1,Travel_Rarely,2,2370,No,3,8,3,8,0
473,48,Female,Married,No,Sales,Manager,3,3,Travel_Rarely,29,12504,No,1,15,1,0,0
474,37,Male,Divorced,No,Research & Development,Research Scientist,1,2,Travel_Rarely,6,5974,Yes,3,13,3,7,6
475,30,Female,Married,No,Sales,Sales Executive,3,2,Non-Travel,25,4736,Yes,4,4,4,2,2
476,26,Male,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,1,5296,No,3,8,3,8,7
477,42,Male,Single,No,Research & Development,Healthcare Representative,4,2,Travel_Rarely,2,6781,No,1,14,3,1,0
478,21,Female,Single,Yes,Sales,Sales Representative,2,1,Travel_Frequently,1,2174,Yes,1,3,3,3,1
479,36,Female,Single,No,Sales,Sales Executive,4,2,Non-Travel,1,6653,No,4,7,3,1,0
481,36,Male,Married,No,Sales,Sales Executive,4,3,Travel_Frequently,3,9699,No,1,16,3,13,1
482,57,Male,Married,No,Research & Development,Healthcare Representative,3,2,Travel_Rarely,1,6755,No,4,15,3,3,1
483,40,Female,Married,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,10,2213,Yes,4,10,3,7,1
484,21,Male,Single,No,Sales,Sales Representative,4,1,Non-Travel,9,2610,No,1,3,2,3,2
485,33,Female,Single,Yes,Sales,Sales Representative,3,1,Travel_Rarely,5,2851,Yes,4,1,3,1,0
486,37,Female,Married,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,10,3452,No,3,17,3,5,0
487,46,Female,Married,No,Research & Development,Manufacturing Director,3,2,Non-Travel,7,5258,No,3,7,4,1,0
488,41,Male,Single,Yes,Sales,Sales Executive,2,2,Travel_Frequently,4,9355,No,1,8,3,8,7
491,50,Male,Single,No,Research & Development,Healthcare Representative,4,3,Travel_Rarely,10,10496,No,4,20,3,4,1
492,40,Male,Married,Yes,Sales,Sales Executive,3,2,Travel_Rarely,22,6380,Yes,3,8,3,6,1
493,31,Male,Single,No,Research & Development,Research Scientist,2,1,Travel_Rarely,9,2657,Yes,3,3,3,2,2
494,21,Female,Single,Yes,Sales,Sales Representative,2,1,Travel_Rarely,12,2716,No,3,1,3,1,0
495,29,Male,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,23,2201,No,4,6,3,3,1
496,35,Male,Single,No,Research & Development,Healthcare Representative,2,2,Travel_Rarely,9,6540,No,3,10,3,1,0
497,27,Male,Divorced,No,Research & Development,Laboratory Technician,2,1,Travel_Rarely,1,3816,No,4,5,3,5,0
498,28,Male,Single,No,Sales,Sales Executive,4,2,Travel_Rarely,9,5253,No,2,7,3,7,0
499,49,Male,Single,No,Research & Development,Healthcare Representative,3,3,Travel_Rarely,7,10965,No,2,26,3,5,0
500,51,Female,Married,No,Sales,Sales Executive,4,2,Travel_Rarely,14,4936,No,3,18,2,7,0
501,36,Female,Married,No,Research & Development,Research Scientist,3,1,Travel_Rarely,2,2543,No,4,6,3,2,2
502,34,Male,Single,Yes,Sales,Sales Executive,4,2,Non-Travel,19,5304,Yes,1,9,2,5,0
505,55,Female,Single,No,Research & Development,Manager,4,4,Travel_Rarely,2,16659,Yes,3,30,3,5,1
507,24,Female,Divorced,No,Sales,Sales Executive,3,2,Travel_Rarely,10,4260,Yes,4,5,4,5,0
508,30,Male,Married,No,Sales,Sales Representative,2,1,Travel_Rarely,2,2476,No,3,1,3,1,0
510,26,Male,Single,Yes,Research & Development,Research Scientist,1,1,Travel_Frequently,3,3102,No,3,7,3,6,0
511,22,Female,Married,No,Research & Development,Research Scientist,2,1,Travel_Rarely,11,2244,No,1,2,3,2,1
513,36,Male,Married,No,Sales,Sales Executive,3,3,Travel_Rarely,2,7596,No,2,10,3,10,9
514,30,Male,Single,Yes,Research & Development,Research Scientist,4,1,Travel_Frequently,4,2285,Yes,3,3,3,1,0
515,37,Female,Divorced,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,14,3034,No,4,18,2,18,12
516,40,Female,Divorced,No,Sales,Sales Executive,2,2,Travel_Rarely,2,5715,No,4,8,3,5,1
517,42,Female,Divorced,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,1,2576,No,2,8,3,5,1
518,37,Male,Single,No,Research & Development,Manufacturing Director,2,2,Travel_Rarely,10,4197,Yes,3,18,2,1,0
520,43,Male,Divorced,No,Research & Development,Research Director,2,4,Travel_Rarely,12,14336,No,1,25,3,25,3
521,40,Female,Married,No,Research & Development,Laboratory Technician,3,2,Travel_Rarely,2,3448,No,2,20,3,1,0
522,54,Male,Married,No,Research & Development,Research Director,1,5,Travel_Rarely,5,19406,No,1,24,2,4,1
523,34,Female,Married,No,Sales,Sales Executive,3,2,Non-Travel,4,6538,No,3,6,3,3,1
524,31,Female,Married,No,Research & Development,Manufacturing Director,1,2,Travel_Rarely,7,4306,No,2,13,1,13,3
525,43,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Frequently,21,2258,No,4,8,3,3,1
526,43,Female,Divorced,No,Research & Development,Healthcare Representative,3,2,Travel_Rarely,8,4522,Yes,3,8,3,5,0
527,25,Female,Single,No,Sales,Sales Executive,4,2,Travel_Rarely,4,4487,Yes,2,5,3,5,1
529,37,Female,Married,No,Research & Development,Research Scientist,3,2,Non-Travel,25,4449,Yes,2,15,3,13,10
530,31,Male,Married,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,1,2218,No,4,4,3,4,3
531,39,Male,Divorced,No,Research & Development,Manager,3,5,Travel_Frequently,1,19197,Yes,2,21,3,21,1
532,56,Female,Married,No,Sales,Sales Executive,1,4,Travel_Frequently,6,13212,No,3,36,2,7,7
533,30,Female,Single,No,Sales,Sales Executive,3,2,Travel_Rarely,12,6577,No,2,6,3,5,4
534,41,Male,Married,No,Sales,Sales Executive,1,3,Travel_Rarely,1,8392,No,2,10,3,10,0
536,28,Male,Divorced,No,Research & Development,Laboratory Technician,1,2,Travel_Rarely,17,4558,No,3,10,3,10,1
538,25,Male,Married,Yes,Research & Development,Laboratory Technician,1,1,Travel_Rarely,3,4031,No,1,6,3,2,0
543,52,Male,Married,No,Research & Development,Manufacturing Director,3,3,Travel_Rarely,3,7969,Yes,4,28,3,5,0
544,45,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,10,2654,No,1,8,2,2,0
546,52,Female,Married,No,Research & Development,Manager,4,4,Travel_Rarely,4,16555,No,4,31,1,5,1
547,42,Female,Divorced,No,Research & Development,Research Scientist,3,2,Travel_Frequently,29,4556,No,1,19,3,5,0
548,30,Female,Single,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,2,6091,No,3,11,3,5,0
549,60,Female,Married,No,Research & Development,Manager,1,5,Travel_Rarely,7,19566,No,1,33,1,29,11
550,46,Female,Divorced,No,Research & Development,Manufacturing Director,3,2,Travel_Rarely,18,4810,No,3,19,2,10,0
551,42,Female,Married,No,Research & Development,Healthcare Representative,4,2,Travel_Frequently,28,4523,No,4,7,4,6,0
554,24,Female,Single,Yes,Sales,Sales Representative,2,1,Travel_Rarely,1,3202,Yes,1,6,3,5,1
555,34,Female,Divorced,Yes,Sales,Sales Representative,3,1,Travel_Frequently,6,2351,No,4,3,2,2,1
556,38,Male,Married,No,Research & Development,Laboratory Technician,4,1,Travel_Frequently,2,1702,Yes,4,1,3,1,0
558,40,Female,Married,No,Sales,Manager,3,5,Travel_Rarely,2,18041,No,3,21,3,20,1
560,26,Female,Divorced,No,Research & Development,Research Scientist,4,1,Travel_Rarely,23,2886,No,1,3,1,3,0
562,30,Male,Married,No,Research & Development,Laboratory Technician,4,1,Non-Travel,3,2097,No,3,9,1,5,1
564,29,Male,Married,No,Research & Development,Research Director,3,3,Travel_Rarely,3,11935,No,2,10,3,10,0
565,29,Female,Married,Yes,Research & Development,Research Scientist,2,1,Travel_Rarely,25,2546,No,3,6,4,2,1
566,19,Male,Single,Yes,Human Resources,Human Resources,4,1,Travel_Rarely,2,2564,No,1,1,4,1,0
567,30,Female,Married,No,Sales,Sales Executive,1,3,Non-Travel,22,8412,No,3,10,3,9,7
568,57,Male,Divorced,No,Sales,Manager,4,4,Travel_Rarely,29,14118,No,1,32,2,1,0
569,50,Male,Married,No,Research & Development,Manager,3,4,Travel_Rarely,29,17046,No,2,28,3,27,15
571,30,Female,Single,No,Research & Development,Laboratory Technician,4,1,Non-Travel,2,2564,No,3,12,2,11,6
573,60,Female,Married,No,Sales,Sales Executive,1,3,Travel_Frequently,28,10266,No,3,22,4,18,13
574,47,Female,Divorced,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,2,5070,No,1,20,3,5,0
575,46,Male,Married,No,Research & Development,Research Director,3,4,Travel_Rarely,2,17861,No,1,26,1,3,0
577,35,Male,Single,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,22,4230,No,4,6,3,5,4
578,54,Female,Single,No,Research & Development,Laboratory Technician,3,2,Travel_Rarely,8,3780,No,3,19,3,1,0
579,34,Male,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Rarely,2,2768,No,4,14,3,7,5
580,46,Female,Married,No,Sales,Sales Executive,4,3,Travel_Rarely,10,9071,Yes,3,15,3,3,1
581,31,Male,Divorced,No,Research & Development,Manufacturing Director,2,3,Travel_Rarely,9,10648,No,3,13,4,13,0
582,33,Male,Married,Yes,Research & Development,Manager,3,3,Travel_Rarely,15,13610,Yes,2,15,4,7,7
584,33,Male,Divorced,Yes,Research & Development,Laboratory Technician,4,1,Travel_Rarely,10,3408,No,1,8,3,4,1
585,30,Male,Single,No,Sales,Sales Representative,2,1,Travel_Rarely,7,2983,No,4,4,3,3,1
586,35,Male,Married,No,Research & Development,Healthcare Representative,3,3,Travel_Rarely,16,7632,Yes,4,10,3,8,0
587,31,Male,Married,Yes,Research & Development,Healthcare Representative,3,3,Travel_Frequently,20,9824,No,1,12,3,1,0
590,34,Female,Divorced,Yes,Human Resources,Human Resources,1,3,Travel_Frequently,23,9950,Yes,2,11,3,3,0
591,42,Male,Married,No,Research & Development,Laboratory Technician,3,1,Travel_Frequently,5,2093,No,2,8,3,2,2
592,36,Male,Single,No,Sales,Sales Executive,4,3,Non-Travel,10,9980,No,2,10,2,10,9
593,22,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Frequently,4,3894,No,3,4,3,2,1
595,48,Female,Married,No,Sales,Sales Executive,4,2,Travel_Rarely,2,4051,No,2,14,3,9,6
597,55,Female,Single,No,Sales,Manager,2,4,Travel_Rarely,18,16835,No,1,37,3,10,7
599,41,Male,Single,No,Sales,Sales Executive,4,2,Non-Travel,10,6230,No,4,16,3,14,1
600,35,Male,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,1,4717,No,2,15,3,11,6
601,40,Female,Single,No,Research & Development,Manufacturing Director,3,4,Travel_Rarely,6,13237,No,2,22,3,20,5
602,39,Female,Married,No,Research & Development,Laboratory Technician,3,1,Travel_Frequently,8,3755,No,3,8,3,8,0
604,31,Male,Single,No,Sales,Sales Executive,4,2,Travel_Rarely,2,6582,Yes,2,10,4,6,0
605,42,Male,Married,No,Research & Development,Manufacturing Director,1,3,Travel_Rarely,24,7406,Yes,4,10,2,10,5
606,45,Male,Married,No,Sales,Sales Executive,2,2,Travel_Rarely,2,4805,No,4,9,4,8,3
608,26,Female,Divorced,Yes,Human Resources,Human Resources,3,1,Travel_Frequently,17,2741,Yes,2,8,2,7,1
611,29,Male,Divorced,No,Research & Development,Manufacturing Director,4,2,Travel_Rarely,19,4262,No,4,8,4,3,1
612,33,Female,Divorced,No,Research & Development,Research Director,3,4,Travel_Rarely,1,16184,No,1,10,3,6,0
613,31,Male,Divorced,No,Sales,Manager,4,3,Travel_Rarely,7,11557,No,3,10,2,5,0
614,18,Male,Single,Yes,Sales,Sales Representative,2,1,Travel_Frequently,5,1878,Yes,2,0,3,0,0
615,40,Male,Divorced,No,Sales,Sales Executive,1,3,Non-Travel,28,10932,No,3,20,3,1,0
616,41,Female,Single,No,Research & Development,Healthcare Representative,3,2,Non-Travel,2,6811,Yes,1,10,3,8,0
618,26,Male,Divorced,No,Sales,Sales Executive,3,2,Travel_Rarely,29,4306,No,1,8,3,0,0
620,35,Female,Single,No,Sales,Sales Executive,3,2,Travel_Rarely,1,4859,No,1,5,3,5,0
621,34,Male,Single,No,Sales,Sales Executive,4,2,Travel_Rarely,21,5337,No,4,10,3,10,5
622,26,Male,Single,Yes,Research & Development,Laboratory Technician,4,1,Travel_Rarely,24,2340,Yes,3,1,1,1,0
623,37,Female,Single,No,Research & Development,Manufacturing Director,4,3,Travel_Rarely,1,7491,No,2,12,4,6,1
624,46,Female,Married,No,Research & Development,Healthcare Representative,3,3,Travel_Frequently,18,10527,No,1,28,2,2,1
625,41,Female,Married,No,Sales,Manager,1,4,Travel_Rarely,2,16595,No,2,22,3,18,11
626,37,Male,Divorced,No,Sales,Sales Executive,2,3,Non-Travel,9,8834,No,1,9,3,9,7
630,52,Male,Divorced,No,Research & Development,Research Scientist,1,2,Travel_Rarely,6,5577,Yes,4,18,3,10,6
631,32,Male,Married,Yes,Sales,Sales Executive,3,2,Non-Travel,11,4707,No,4,6,3,4,1
632,24,Male,Married,No,Sales,Sales Representative,4,1,Travel_Frequently,24,2400,No,4,3,3,2,2
634,38,Female,Married,No,Research & Development,Healthcare Representative,3,2,Travel_Rarely,10,9824,No,3,18,3,1,0
635,37,Female,Married,No,Research & Development,Manufacturing Director,2,2,Travel_Rarely,1,6447,No,2,8,2,6,4
638,49,Male,Divorced,No,Research & Development,Research Director,3,5,Travel_Rarely,18,19502,Yes,4,31,3,31,0
639,24,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,23,2725,Yes,2,6,3,6,1
641,26,Male,Married,No,Sales,Sales Executive,2,2,Travel_Rarely,28,6272,No,1,6,4,5,1
643,24,Male,Married,No,Research & Development,Laboratory Technician,2,1,Travel_Rarely,17,2127,No,4,1,3,1,0
644,50,Male,Married,No,Human Resources,Manager,2,5,Travel_Frequently,3,18200,No,1,32,3,32,10
645,25,Male,Married,No,Sales,Sales Representative,3,1,Travel_Rarely,13,2096,No,2,7,3,7,0
647,24,Female,Married,Yes,Research & Development,Laboratory Technician,3,1,Travel_Frequently,7,2886,Yes,1,6,3,6,1
648,30,Male,Married,Yes,Sales,Sales Representative,1,1,Travel_Frequently,12,2033,No,2,1,4,1,0
649,34,Male,Married,No,Research & Development,Research Scientist,4,1,Travel_Rarely,1,3622,Yes,2,6,3,6,1
650,31,Male,Divorced,Yes,Sales,Sales Executive,1,2,Travel_Rarely,13,4233,No,2,9,1,3,1
652,35,Male,Single,No,Research & Development,Laboratory Technician,4,2,Travel_Rarely,25,3681,No,1,9,3,3,0
653,31,Male,Divorced,No,Sales,Sales Executive,4,2,Travel_Rarely,6,5460,No,1,13,4,7,5
655,27,Female,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Rarely,6,2187,No,1,6,2,5,0
656,37,Male,Married,No,Sales,Sales Executive,3,2,Travel_Rarely,2,9602,Yes,4,17,2,3,1
657,20,Female,Single,No,Research & Development,Research Scientist,2,1,Travel_Rarely,1,2836,No,4,1,4,1,0
659,42,Female,Married,No,Research & Development,Healthcare Representative,4,2,Travel_Rarely,2,4089,No,3,10,3,10,2
661,43,Male,Divorced,No,Research & Development,Research Director,4,4,Travel_Rarely,6,16627,Yes,2,21,2,1,0
662,38,Female,Single,No,Research & Development,Research Scientist,1,1,Travel_Rarely,1,2619,No,3,8,2,0,0
663,43,Male,Divorced,No,Research & Development,Laboratory Technician,3,2,Travel_Frequently,9,5679,Yes,4,10,3,8,4
664,48,Female,Married,No,Research & Development,Manager,1,4,Travel_Rarely,1,15402,No,4,21,1,3,0
